"name"	"type"	"edition"	"rarity"	"value"	"suit"	"cost"	"upkeep"	"control"	"influence"	"bullet"	"stud"	"start"	"outfit"	"text"
"Friends in High Places"	"actions"	3	"R"	9	"C"	0	0	0	0		"no"			"Noon: Boot one or more of your dudes who have a combined Influence greater than the number of Control Points provided by the deed they are in. You control this deed until after nightfall, regardless of other Players' Influence totals."
"A Secret Tunnel"	"actions"	3	"R"	3	"C"	1	0	0	0		"no"			"Noon: Choose two deeds you own. There is a secret tunnel between those two deeds and they are considered ""adjacent"" whenever you wish for the rest of the game."
"Ace in the Hole"	"actions"	3	"R"	4	"C"	0	0	0	0		"no"			"Reaction: Play after Draw Hands have been revealed for any draw. You may discard one of your cards and replace it with either a card from your Play Hand or the top card from your deck."
"Ambush"	"actions"	3	"C"	5	"C"	5	0	0	0		"no"			"Noon Job: Boot one of your dudes and assemble a posse to ace any dude in play. If the job is successful, the target is aced. All of the dudes in your posse become Wanted unless the target was Wanted."
"Refuse to Fall"	"actions"	3	"C"	10	"C"	0	0	0	0		"no"			"Reaction: Play when your last dude is being aced in a Shootout. If the dude has Influence greater than zero, reduce it by one permanently instead of acing the dude: you do not lose your last dude in this round. This dude is aced after the Shootout."
"Pinned Down"	"actions"	3	"C"	8	"C"	0	0	0	0		"no"			"Shootout: Target a booted dude in the opposing posse. That dude may not be the shooter if another dude can be; the dude does not provide a one-card Draw or Stud bonus to the shooter."
"Get a Rope"	"actions"	3	"R"	10	"C"	0	0	0	0		"no"			"Cheatin'!Reaction: Play when another Player reveals an illegal Draw Hand. Boot one of your dudes and call out any one of that Player's dudes for a Shootout. This Shootout cannot be refused, and no other dudes may join the Shootout. Only one Cheatin'! card can be played against a Player per draw."
"Pistol Whip"	"actions"	3	"R"	6	"C"	0	0	0	0		"no"			"Shootout: Send one of the opponent's dudes in this fight home, booted. Give a -1 Bullet (minimum zero) to one of your dudes in this fight for the rest of the Shootout."
"Overtime"	"actions"	3	"C"	4	"C"	0	0	0	0		"no"			"Reaction: Play before the upkeep phase to increase the ghost rock production of all your ghost rock-producing deeds by one. On your next turn, you gain no ghost rock from your deeds."
"Jail Break"	"actions"	3	"R"	4	"C"	0	0	0	0		"no"			"Noon Job: Boot one of your dudes and gather a posse of at least one other dude to damage a deed. If the job is successful, the deed is worth 1 fewer Control Point, produces 2 fewer ghost rock per turn, and loses any special actions (minimum zero for each). These changes are permanent."
"Rooftop Sniper"	"actions"	3	"C"	"K"	"C"	0	0	0	0		"no"			"Shootout: Before this Shootout continues, there is a Shootout between one of your unbooted dudes who is adjacent but not in the Shootout and any one enemy dude who is in this Shootout. No other dudes may enter this new Shootout."
"Get on your Feet!"	"actions"	3	"C"	2	"C"	0	0	0	0		"no"			"Noon Pull: Target a booted dude. If the pull is equal to or greater than the value of the targeted dude, unboot the dude. Only one Get On Your Feet can be played per turn by each Player."
"The Witching Hour"	"actions"	4	"R"	8	"C"	0	0	0	0		"no"			"Noon: Boot more of your Hucksters than the current Fear Level to raise the Fear Level by one. Ace this card."
"Stray Lead"	"actions"	4	"C"	8	"C"	0	0	0	0		"no"			"Reaction: Play immediately after hands have been revealed in a Shootout when a player has won by more ranks than the losing posse has dudes. The player winning this Shootout has killed an innocent person- until the end of the game, he or she is always considered to have one fewer control points than he or she actually does."
"They Just Pay Better 'N You"	"actions"	4	"R"	7	"C"	4	0	0	0		"no"			"Noon: Play a dude out of your hand that matches a non-unique dude in play (but not in Boot Hill). Your dude enters play (ghost rock costs are waived), and the opposing dude is discarded with any goods he may have. Any permanent effects carry over to your dude."
"Sheriff's Watchin'"	"actions"	4	"C"	8	"C"	0	0	0	0		"no"			"Reaction: Play immediately before one or more dudes begin to perform an action that would make them Wanted. The action is canceled without effect."
"Smith & Robards Delivery"	"actions"	4	"R"	5	"C"	2	0	0	0		"no"			"Noon: You may put one gadget into play as a Noon action this turn. You must still pay the cost of the gadget and test to make sure it works (as if a Mad Scientist: 1 were bringing the gadget into play). This gadget can be attached to any dude that may legally accept it."
"His Back Was To Me"	"actions"	4	"C"	9	"C"	0	0	0	0		"no"			"Shootout: Reduce the Bullet Rating of one opposing dude to be equal to the highest bullet Rating in your posse. If you donot have any Studs in your posse, the target becomes a Draw bonus fighter as well. The reduction is only for this round of the Shootout."
"Foreclosure"	"actions"	4	"C"	6	"C"	0	0	0	0		"no"			"Cheatin'!Reaction: Play when another Player reveals an illegal Draw Hand. Select one deed owned by that player which is discarded. Only one Cheatin'! card can be played against a Player per draw."
"Manitou's Revenge"	"actions"	4	"R"	"A"	"C"	0	0	0	0		"no"			"Reaction: Play when a spell fails.Pull: if the value is lower than the spell's difficulty, the dude performing the spell is aced."
"It's Just Coal..."	"actions"	4	"C"	3	"C"	0	0	0	0		"no"			"Noon: Target one player, who loses 2 ghost rock. Ace this card."
"Forgery"	"actions"	4	"C"	"K"	"C"	2	0	0	0		"no"			"Noon: Play a deed out of your hand that matches a deed in play. The deed in play is aced and your deed enters play normally. All dudes that were at the deed are moved to yours, without booting."
"Yer Cheatin' Too!"	"actions"	4	"R"	2	"C"	0	0	0	0		"no"			"Reaction: Play when another player plays a Cheatin'! card targeting you and they also have an illegal hand for this draw. Your opponent's Cheatin'! card is canceled and has no effects."
"Deputize"	"actions"	4	"C"	2	"C"	0	0	0	0		"no"			"Noon: All of your dudes that are not currently in your Outfit become members of your Outfit."
"Nowhere To Run"	"actions"	4	"C"	6	"C"	0	0	0	0		"no"			"Reaction: Play when a posse is trying to escape a Shootout. They are stuck in the Shootout and must fight another round."
"Hot Lead Flyin'"	"actions"	5	"C"	4	"C"	0	0	0	0		"no"			"Reaction Pull: Play immediately after hands are revealed in a Shootout. For each dude the losing posse has with a value higher than the pull, the winner must ace a dude in his posse as if he had lost the round."
"War Paint"	"actions"	5	"R"	"K"	"C"	0	0	0	0		"no"			"Noon: One of your dudes has +2 Bullets until nightfall."
"Double Time"	"actions"	5	"C"	"Q"	"C"	1	0	0	0		"no"			"Noon: Boot one of your dudes at a deed. The deed your dude is in has its ghost rock production doubled during the next upkeep phase."
"Hat Gun"	"actions"	5	"R"	9	"C"	1	0	0	0	1	"no"			"Shootout: Attach this card as a goods card to your Mad Scientist in this shootout. This card acts as a goods card and is a +1 Bullet weapon Gadget (with no difficulty)."
"Bounty Hunter"	"actions"	5	"R"	6	"C"	1	0	0	0		"no"			"Noon: A Bounty Hunter (dude) with a two stud Bullet Rating and zero Influence, calls out one Wanted dude in play who cannot refuse. The Bounty Hunter is under your control. After the shootout, the Bounty Hunter is removed from play."
"Snakebite"	"actions"	5	"C"	7	"C"	0	0	0	0		"no"			"Cheatin'!Reaction: Play when another Player reveals an illegal Draw Hand during a Shootout. Ace one dude in his posse. Only one Cheatin'! card can be played against a Player per draw."
"Reserves"	"actions"	5	"R"	10	"C"	0	0	0	0		"no"			"Noon: Gain 1 ghost rock."
"Human Shield"	"actions"	5	"C"	"A"	"C"	0	0	0	0		"no"			"Shootout: One of your dudes in this Shootout becomes Wanted. This dude cannot be aced in this round of the Shootout. Continue the Shootout if necessary."
"Throw Down"	"actions"	5	"R"	4	"C"	0	0	0	0		"no"			"Noon: Boot one of your dudes to call out any dude at the same location that has a lower value. They begin a shootout that can't be refused."
"Take Ya With Me"	"actions"	5	"C"	"J"	"C"	0	0	0	0		"no"			"Reaction: Play after Hands are revealed during a Shootout. The player who wins this round must also ace one dude, as if he had lost the round."
"Rumors"	"actions"	5	"C"	"J"	"C"	0	0	0	0		"no"			"Noon: One dude has his Influence reduced by one while he is at any location except at home. The dude's Influence is returned to normal after nightfall."
"Burn `Em Down"	"actions"	6	"C"	10	"C"	0	0	0	0		"no"			"Shootout: Boot one of your dudes in this Shootout to reduce the Bullet Rating of one opposing dude in this gunfight by a number of Bullets equal to your dude`s Bullet Rating."
"Night Haunt"	"actions"	6	"R"	3	"C"	3	0	0	0		"no"			"Reaction Pull: Play immediately before the end of nightfall when a dude is at a strike or other out-of-town location. If the pull is greater than the dude's value, he is aced. This action cannot target a Terror, Reverend, or member of The Flock."
"No Funny Stuff"	"actions"	6	"C"	9	"C"	0	0	0	0		"no"			"Shootout: No Reactions can be played until after this Shootout is over. No more Shootout actions can be played for this Shootout."
"Chinese Day Laborers"	"actions"	6	"R"	5	"C"	1	0	0	0		"no"			"This action is free for the Maze Rats.Reaction: Play immediately before you put a deed into play. That deed has its cost reduced by two."
"Kidnapping"	"actions"	6	"C"	8	"C"	0	0	0	0		"no"			"Noon Job: Boot one of your dudes to kidnap any dude in play with a lower Bullet Rating that is controlled by another player. If the job is successful the kidnapped dude is discarded, and all of the dudes in your posse become wanted."
"The Fear"	"actions"	6	"C"	"K"	"C"	0	0	0	0		"no"			"Noon: If the Fear Level is 5 or greater, boot all non-Terror dudes with a Bullet Rating less than 2."
"Church Raisin'"	"actions"	6	"R"	4	"C"	0	0	0	0		"no"			"Noon Job: Boot one of your dudes and move him to the Town Square. If the job is successful and the total Influence of the dudes in your posse is greater than half the current Fear Level, then the Fear Level is reduced by one."
"Bum Rush"	"actions"	6	"C"	5	"C"	0	0	0	0		"no"			"Shootout: One of your dudes in this Shootout gets a +1 Bullet bonus for this Shootout. Only one Bum Rush can be played per Shootout."
"Tattoo"	"actions"	6	"R"	"Q"	"C"	0	0	0	0		"no"			"Noon: Boot one of your Sioux dudes. This dude takes a -1 Bullet penalty (minimum zero), permanently. This dude has his Shaman skill increased by one, permanently. No dude may be tattooed more than once during a game. This does not give the Shaman skill to a dude that does not have it."
"Red Spade"	"actions"	6	"R"	3	"C"	0	0	0	0		"no"			"Reaction: Play immediately after a pull is revealed to change the suit or color of the pull to the suit or color of your choice."
"Crippled"	"actions"	6	"C"	10	"C"	1	0	0	0		"no"			"Reaction: Play immediately before a dude is going to be aced during a Shootout. Instead of being aced, that dude is sent home, but is crippled permanently. The crippled dude loses 1 Bullet, 1 Influence, and can only move to adjacent locations."
"Luck of the Draw"	"actions"	6	"C"	7	"C"	2	0	0	0		"no"			"Reaction: Play immediately before Draw Hands are revealed to increase or decrease your hand rank by one (and your hand is now considered the worst possible hand of that rank)."
"Yellow Traitor!"	"actions"	7	"C"	"J"	"C"	0	0	0	0		"no"			"Cheatin!Reaction: Play when another Player reveals an illegal Draw Hand. Until the end of the game, that player is always considered to have one less control point towards victory (cumulative). Only one Cheatin' card can be played against a player per draw."
"That's Two Pair"	"actions"	7	"C"	5	"C"	0	0	0	0		"no"			"Reaction: Play immediately after a player reveals a Draw hand that is a Dead Man's Hand. That hand is considered to be just Two Pair (aces and eights) instead of a Dead Man's Hand."
"Take Cover"	"actions"	7	"R"	9	"C"	0	0	0	0		"no"			"Shootout: Target one of your dudes. That dude cannot be aced in this round of the Shootout unless your hand is beaten by at least three ranks. Continue the Shootout if necessary. Your dude is a -1 Bullet for this round of the shootout."
"Marked Cards"	"actions"	7	"R"	6	"C"	0	0	0	0		"no"			"Shootout: Your opponent's draw hand is playedface up on the table for this shootout. Your Draw Hand is automatically considered an illegal hand, regardless of its contents."
"Massacre at High Noon"	"actions"	7	"R"	3	"C"	5	0	0	0		"no"			"Noon Job: Boot one of your dudes to attack all dudes at a location. Unbooted dudes can join either posse, even if they cannot normally move to the target location. During the Shootout for this job, all dudes in the Shootout may pay 3 ghost rock and boot to leave the Shootout and move to an adjacent location. If the job is successful, your posse goes home, and all dudes at that location are aced. You may not perform this action on the first turn of the game."
"Mimic"	"actions"	7	"C"	2	"C"	0	0	0	0		"no"			"Reaction: Play immediately after a dude is aced in a Shootout. Any one Harrowed dude at that Shootout permanently gains any one action printed on the aced dude."
"Friendly Game"	"actions"	7	"C"	7	"C"	0	0	0	0		"no"			"Noon: Boot one of your dudes who begins gambling with any non-terror dude at the same location. Each player draws a draw hand, and the winner takes ghost rock equal to the difference between hands from the loser (up to the loser's entire stockpile of ghost rock)."
"Hired Guns"	"actions"	7	"R"	3	"C"	3	0	0	0		"no"			"Noon: Get any one dude from your discard pile and put it in your hand."
"Derringer"	"actions"	7	"C"	10	"C"	1	0	0	0	1	"no"			"Shootout: One of your dudes in this gunfight has a Derringer. Attach this card to your dude. This card acts in all ways as if it were a +1 Bullet weapon goods card. The Derringer can only be chosen as a weapon for one round of a Shootout per turn."
"Swapped Decks"	"actions"	8	"R"	"J"	"C"	0	0	0	0		"no"			"Reaction: Play when someone plays a Cheatin'! card on you. Discard one card from your Draw hand, and replace it with the top card of your deck. If your final Draw Hand is now legal, the Cheatin'! card is discarded without effect."
"Smoke Signals"	"actions"	8	"C"	"K"	"C"	0	0	0	0		"no"			"Shootout: Move any or all of your unbooted Sioux dudes into this posse, regardless of their location. All of those dudes are booted."
"Chilling Effect"	"actions"	8	"C"	9	"C"	0	0	0	0		"no"			"Reaction: Play immediately after a dude is brought into play. Target and boot one other dude in play controlled by a different player who has a value four or more below that of the dude who was brought into play."
"Degeneration"	"actions"	8	"C"	5	"C"	0	0	0	0		"no"			"Noon: Target a Harrowed dude in play. That dude loses 1 Bullet, 1 Influence (both minimum zero), and any one action printed on his card (your choice), permanently."
"Bottom Dealin'"	"actions"	8	"R"	2	"C"	1	0	0	0		"no"			"Reaction: Play when you are about to pull. Instead of drawing from the top of your deck, draw the top card of your discard."
"That'll Leave A Scar"	"actions"	8	"C"	"K"	"C"	0	0	0	0		"no"			"Reaction: Play after draw hands have been revealed for a Shootout, and immediately before the hands are discarded. Ace any one card in your opponent's Draw Hand. Pay 2 ghost rock or this card is also aced."
"Home Sweet Home"	"actions"	8	"R"	9	"C"	0	0	0	0		"no"			"Noon: Target one of your dudes who is at your home. That dude cannot be targeted with actions or jobs by any player (including you). That dude may not join a posse or move from home until after nightfall. Ace this card."
"Drinks On The House"	"actions"	8	"R"	7	"C"	0	0	0	0		"no"			"Reaction: Play immediately after an event has resolved. Until the end of the game, events with that name do not resolve when they appear. Ace this card."
"Good Stiff Drink"	"actions"	8	"R"	"Q"	"C"	0	0	0	0		"no"			"Noon: One action on a dude in play that has been used can be used a second time this turn."
"Lost Faith"	"actions"	8	"C"	"A"	"C"	0	0	0	0		"no"			"Reaction: Play when a Blessed's Miracle is unsuccessful. That dude loses the Blessed skill, permanently."
"I Got The Pistols..."	"actions"	9	"C"	8	"C"	0	0	0	0		"no"			"Reaction: Play immediately after a job is determined to be successful and you have a dude in the Dealer's posse. Your dude is now considered the Dealer for this job as if you were performing the action."
"Supplies From Back East"	"actions"	9	"R"	"Q"	"C"	5	0	0	0		"no"			"Noon: Unboot one deed you own. You may use any action on that deed an additional time this turn."
"We've Got Ya Surrounded"	"actions"	9	"C"	8	"C"	0	0	0	0		"no"			"Shootout: If you have more than twice as many dudes in your posse than the opposing posse, all of the dudes in your posse are studs until the end of this Shootout."
"Any One Of Ya!"	"actions"	9	"R"	4	"C"	3	0	0	0		"no"			"Noon: Choose one of your unbooted dudes in town, and move him or her into Town Square, booted. Target a Player who may call your dude out with any dude (even booted dudes and those that normally may not call your dude out) in town he controls, moving him or her to the Town Square. If the player does not, you gain one Victory Point. No other dudes may join this Shootout."
"Seductress"	"actions"	9	"R"	4	"C"	5	0	0	0		"no"			"Noon: Boot any one dude in play."
"Tastes Like Chicken"	"actions"	9	"C"	6	"C"	0	0	0	0		"no"			"Noon: Boot any harrowed dude in play to ace any non-gadget horse at the same or an adjacent location."
"Blueprints"	"actions"	9	"R"	"A"	"C"	0	0	0	0		"no"			"Noon: Take one deed from your Boot Hill and put it in your hand."
"Dumb Luck"	"actions"	9	"C"	10	"C"	0	0	0	0		"no"			"Reaction: Play immediately after a successful magic pull. The pull is cancelled, and the dude performing the magic must pull again. If the second pull is unsuccessful, the dude is booted and may not perform any other actions this turn."
"Jackelope Stampede"	"actions"	9	"C"	8	"C"	0	0	0	0		"no"			"Cheatin!Reaction: Play when another player reveals an illegal Draw hand. That player must select and discard one of his cards in play. Then, that hand is discarded without effect and the player must draw 5 new cards for his or her Draw hand. That player must continue discarding cards and redrawing until he reveals a legal Draw hand or he has no cards in play. Only one Cheatin' card can be played against a player per draw."
"Framed"	"actions"	"1&2"	"R"	7	"C"	"*"	0	0	0		"no"			"The ghost rock cost of this card is double the target's Influence.Noon: Target one dude in play who becomes Wanted. That dude's Controller may, as a Noon action, boot a Law Dog he controls to Pull: if the pull is a red card, the dude is no longer Wanted and that Player can choose one of your dudes who becomes Wanted instead."
"Raid"	"actions"	"1&2"	"C1"	"Q"	"C"	2	0	0	0		"no"			"Noon Job: One of your dudes gathers a posse to raid your opponent's Vault, at his or her home. If the Raid is successful, Pull the top card from your opponent's deck and take an amount of ghost rock equal to half the value (round up) from the target Player. All dudes in your posse become Wanted."
"Lady Luck"	"actions"	"1&2"	"R"	"A"	"C"	0	0	0	0		"no"			"Noon: You may discard as many of your cards as you like during nightfall this turn."
"Double dealin"	"actions"	"1&2"	"C2"	5	"C"	0	0	0	0		"no"			"Cheatin'!Reaction: Play when another Player reveals an illegal Draw Hand. That Player's entire Draw Hand is discarded and replaced by the top five cards of your deck. Your cards are discarded normally afterwards. Only one Cheatin' card can be played against a Player per draw."
"Clean up the Town"	"actions"	"1&2"	"C1"	"K"	"C"	0	0	0	0		"no"			"Noon: Boot one of your dudes to call out any Wanted dude who is in town. If he refuses, his Influence is permanently reduced to zero. If it was already zero, he is aced if he refuses."
"Claim Jumper"	"actions"	"1&2"	"C2"	"Q"	"C"	0	0	0	0		"no"			"Noon: Boot one of your dudes at a strike you Control. You are now the Owner of the strike until the end of the game."
"Crack Shot"	"actions"	"1&2"	"R2"	2	"C"	0	0	0	0		"no"			"Shootout: One dude's Draw bonus is changed to a Stud bonus until the end of this Shootout."
"Dust Devil"	"actions"	"1&2"	"R2"	5	"C"	3	0	0	0		"no"			"Noon: Ace any one goods card in play."
"Caught with yer pants down"	"actions"	"1&2"	"R2"	10	"C"	0	0	0	0		"no"			"Shootout: Select one dude in this Shootout, who may gain no benefit from any goods for this Shootout, and receives a -1 Bullet for this Shootout (minimum zero)."
"Arson"	"actions"	"1&2"	"C1"	6	"C"	2	0	0	0		"no"			"Noon Job: Boot one of your dudes and name a deed in play. If the job is successful, Pull: if the pull is clubs or spades, ace the deed, and everyone in your posse becomes Wanted."
"And Stay Down!"	"actions"	"1&2"	"R2"	8	"C"	0	0	0	0		"no"			"Reaction: Play when a Harrowed dude is about to be aced. The Harrowed dude is aced and sent to Boot Hill - no pull is performed."
"Quickdraw"	"actions"	"1&2"	"C1"	"J"	"C"	0	0	0	0		"no"			"Reaction: Play in the event of a tie (the same Hand Rank) in a Shootout to win the Shootout by one Rank."
"A Price on his Head"	"actions"	"1&2"	"R"	2	"C"	0	0	0	0		"no"			"Noon: Choose any one Wanted dude in play. Until the end of the game, any Player that aces the dude in a Shootout gets 5 ghost rock."
"Gremlins"	"actions"	"1&2"	"R"	"Q"	"C"	0	0	0	0		"no"			"Noon: Target one Gadget in play. The Gadget is aced.Noon: Boot a Mad Scientist in play."
"Don't Like yer Looks!"	"actions"	"1&2"	"R"	6	"C"	0	0	0	0		"no"			"Noon: Boot one of your dudes in the Town Square or any deed you control to call out any other dude in the same location. They begin a Shootout that can't berefused and no other dudes may join the Shootout."
"Giddyup!"	"actions"	"1&2"	"C2"	4	"C"	0	0	0	0		"no"			"Reaction: Play immediately before one of your dudes boots to join a posse. Your dude does not have to boot to join this posse."
"Friends in Low Places"	"actions"	"1&2"	"C2"	10	"C"	0	0	0	0		"no"			"Noon: Look at one of your opponents' Play Hands."
"Grave Robbin'"	"actions"	"1&2"	"R"	"J"	"C"	0	0	0	0		"no"			"Noon: Get 1 ghost rock for each dude buried in Boot Hill."
"Warrant"	"actions"	"1&2"	"C1"	5	"C"	0	0	0	0		"no"			"Noon: Target any dude in play. Boot one or more of your dudes who have a combined Influence greater than the target. The target dude is now Wanted."
"Hell's Fury"	"actions"	"1&2"	"R"	3	"C"	0	0	0	0		"no"			"Noon Pull: Choose a dude in Boot Hill that you also hold in your Play Hand. If the value of the pull is higher than the dude's value, remove the dude in Boot Hill from play and bring your dude into play, without costs. This dude is now Harrowed."
"Git!"	"actions"	"1&2"	"R"	10	"C"	0	0	0	0		"no"			"Noon Pull: If the pull value is greater than the value of the target dude at one of your deeds, start a Shootout that may not be refused between that dude and one of your dudes at the same location. Any dudes adjacent to the deed may join either side of the Shootout. Dudes not actually in the target's location must boot to join the posse."
"Extortion"	"actions"	"1&2"	"R"	7	"C"	0	0	0	0		"no"			"Noon: Target a deed that you currently control but do not own. You maintain control of this deed until another Player, as a Noon action, pays you ghost rock equal to the amount of Influence that you had at that location when you played this card. At that point, control of the deed is determined normally."
"Sun in yer eyes"	"actions"	"1&2"	"C1"	2	"C"	0	0	0	0		"no"			"Shootout: Play at the beginning of a Shootout to give one opponent a -2 Bullet penalty (minimum zero) for this Shootout."
"Yer all Chicken!"	"actions"	"1&2"	"R"	"Q"	"C"	0	0	0	0		"no"			"Noon: Target one of your dudes in the Town Square. Each opposing Player may send one of their dudes for a Shootout with your dude, or else must give you one ghost rock. Begin with the Player on your left and go clockwise once around the table. If your dude is aced by a challenger, the remaining players do not have to pay you. No other dudes may join these Shootouts."
"Pannin' for Gold"	"actions"	"1&2"	"R"	"A"	"C"	0	0	0	0		"no"			"Reaction: Play when a strike is aced to receive ghost rock equal to the amount the strike would normally provide during upkeep."
"Diversion"	"actions"	"1&2"	"C1"	3	"C"	0	0	0	0		"no"			"Reaction: Play when a dude is about to boot to join a posse. That dude does not boot, and cannot join the posse."
"Bucket Brigade"	"actions"	"1&2"	"C1"	4	"C"	0	0	0	0		"no"			"Reaction: Play when one deed is about to be aced. The deed is not aced, but may not perform any actions for the rest of this turn and does not produce ghost rock next turn."
"Shortcut"	"actions"	"1&2"	"R"	9	"C"	0	0	0	0		"no"			"Reaction: Play when one of your dudes is moving to a new location (not as part of a posse). This move does not boot your dude."
"Haunting"	"actions"	"1&2"	"C1"	"K"	"C"	4	0	0	0		"no"			"Noon: Play on any deed, which has its ghost rock production cut in half (round down). The deed gains the Badlands trait while haunted. The Haunting will end when a Blessed or Shaman dude at this deed is booted as a Noon action."
"Run Outta Town"	"actions"	"1&2"	"C1"	7	"C"	0	0	0	0		"no"			"Cheatin'!Reaction: Play when another Player reveals an illegal Draw Hand. Target any one dude controlled by that Player. Pull: If the value is equal to or higher than the dude's value, the dude is discarded along with any goods he controls. Only one Cheatin'! card can be played against a player per draw."
"Gettin' Outta Hand"	"actions"	"1&2"	"R2"	9	"C"	0	0	0	0		"no"			"Reaction: Play just after a dude performs an action and is at a deed you control. One of your dudes at that location may call out the acting dude who must accept the challenge. No other dudes may join this Shootout."
"Snake Eyes"	"actions"	"1&2"	"R"	9	"C"	0	0	0	0		"no"			"Reaction: Play after any pull has been revealed to have the pull discarded. The Player performing the pull redraws."
"Drawing a Bead"	"actions"	"1&2"	"R2"	6	"C"	0	0	0	0		"no"			"Shootout: Target one of your dudes in a Shootout. Gain no benefit for this dude in this round of the Shootout. Triple the Bullet Rating for this dude in all of the consecutive rounds of the Shootout."
"Just a Graze"	"actions"	"1&2"	"C2"	5	"C"	3	0	0	0		"no"			"Reaction: Play after Hands have been shown in a Shootout. The number of your dudes killed in that round is reduced by one and the Shootout continues normally."
"Cheatin' Varmint"	"actions"	"1&2"	"C2"	"A"	"C"	0	0	0	0		"no"			"Cheatin'!Reaction: Play when another Player reveals an illegal Draw Hand. His Draw Hand is reduced by 3 Ranks from its actual value (and is considered the worst possible hand of that Rank). Only one Cheatin' card can be played against a Player per draw."
"Cave-in"	"actions"	"1&2"	"R"	"J"	"C"	2	0	0	0		"no"			"Noon: Choose one strike in play. That strike is booted and produces no ghost rock; it may not unboot until a dude boots there as a Noon action."
"Yellow Belly"	"actions"	"1&2"	"R"	"K"	"C"	0	0	0	0		"no"			"Reaction: Play when a dude refuses when being called out. The dude is -1 Influence and -1 Bullet (minimum zero), permanently."
"Head 'em Off at the Pass"	"actions"	"1&2"	"C1"	"J"	"C"	0	0	0	0		"no"			"Reaction: Play when a Posse is being assembled for a job. Any one of your dudes can join the posse, regardless of their location and whether or not they are booted. You may not join a posse if the Player assembling it does not want you to."
"Dead Man's Hand"	"actions"	"1&2"	"R"	8	"C"	7	0	0	0		"no"			"Noon: Boot one of your dudes who calls out any booted dude in play. The called out dude must accept and enter the Shootout. If your dude has a lower Bullet Rating than the target, raise it to be equal in magnitude. If your dude survives the Shootout, he becomes Wanted."
"Brawl"	"actions"	"1&2"	"C1"	3	"C"	0	0	0	0		"no"			"Noon: Target any location. Until after nightfall, any dude in this location may, as a Noon action, start a Shootout with any other dude at that location. The losers of the Shootout are sent home booted, instead of being aced."
"Fanning the Hammer"	"actions"	"1&2"	"C2"	6	"C"	1	0	0	0		"no"			"Reaction: Play when your posse has won a round of a Shootout to increase by two the number of dudes aced in the opposing posse."
"Out of Ammo"	"actions"	"1&2"	"R2"	"A"	"C"	0	0	0	0		"no"			"Shootout: Target dude in this Shootout becomes a Draw instead of a Stud."
"Lynch Mob"	"actions"	"1&2"	"R"	8	"C"	0	0	0	0		"no"			"Noon: Choose any one Wanted dude. Any Player may boot as many un-Wanted dudes they wish to join the mob. If the number of dudes in the lynch mob is greater than the combined Bullet Rating of the Wanted dude's gang at his location, then he is aced."
"Scalpin'"	"actions"	"1&2"	"R"	8	"C"	0	0	0	0		"no"			"Reaction: Play when one of your dudes just Aced another dude. Your dude gains Influence permanently equal to one half (round down) of the aced dude's Influence."
